date	sales
2010-02-05	10934.88
2010-02-12	9035.23
2010-02-19	9193.38
2010-02-26	4284.02
2010-03-05	5375.23
2010-03-12	7465.99
2010-03-19	6980.92
2010-03-26	10079.83
2010-04-02	9708.97
2010-04-09	6820.21
2010-04-16	4185.86
2010-04-23	8651.84
2010-04-30	6706.52
2010-05-07	6763.56
2010-05-14	5199.55
2010-05-21	4343.18
2010-05-28	5819.82
2010-06-04	8608.97
2010-06-11	6323.44
2010-06-18	5416.04
2010-06-25	6242.62
2010-07-02	6839.35
2010-07-09	5616.16
2010-07-16	4035.76
2010-07-23	6022.55
2010-07-30	4412
2010-08-06	4986.41
2010-08-13	4708.46
2010-08-20	5349.24
2010-08-27	3549.94
2010-09-03	5189.72
2010-09-10	4751.88
2010-09-17	4322.51
2010-09-24	4434.11
2010-10-01	5810.06
2010-10-08	5682.37
2010-10-15	5116.19
2010-10-22	5732.46
2010-10-29	4126.32
2010-11-05	5545.09
2010-11-12	6345.15
2010-11-19	8116.09
2010-11-26	31448.02
2010-12-03	7779.55
2010-12-10	12377.77
2010-12-17	13434.14
2010-12-24	22641.13
2010-12-31	8651.96
2011-01-07	5709.94
2011-01-14	5004.87
2011-01-21	4456.7
2011-01-28	5953.16
2011-02-04	8627.72
2011-02-11	9577.92
2011-02-18	9038.95
2011-02-25	5605.69
2011-03-04	6056.21
2011-03-11	7175.32
2011-03-18	7338.69
2011-03-25	3761.96
2011-04-01	5559.67
2011-04-08	5818.8
2011-04-15	5347.36
2011-04-22	6399.25
2011-04-29	4693.28
2011-05-06	4444
2011-05-13	3724.92
2011-05-20	3666.78
2011-05-27	3621.62
2011-06-03	5081.63
2011-06-10	6805.15
2011-06-17	7273.53
2011-06-24	6378.98
2011-07-01	6469.61
2011-07-08	5305.1
2011-07-15	4058.23
2011-07-22	6373.34
2011-07-29	5047.56
2011-08-05	6744.66
2011-08-12	5771.2
2011-08-19	4662.17
2011-08-26	3941.02
2011-09-02	4256.66
2011-09-09	5377.78
2011-09-16	5864.7
2011-09-23	5512.07
2011-09-30	5064.17
2011-10-07	7653.56
2011-10-14	5755.14
2011-10-21	7475.36
2011-10-28	7409.13
2011-11-04	7017.14
2011-11-11	7916.23
2011-11-18	8633.96
2011-11-25	27602.65
2011-12-02	7602.93
2011-12-09	10576.01
2011-12-16	8605.8
2011-12-23	15941.12
2011-12-30	8898.32
2012-01-06	5838.05
2012-01-13	5067.31
2012-01-20	4372.38
2012-01-27	5706.24
2012-02-03	6966.16
2012-02-10	6872.84
2012-02-17	11897.85
2012-02-24	7220.86
2012-03-02	5880.62
2012-03-09	6095.3
2012-03-16	9139.25
2012-03-23	5700.2
2012-03-30	6039.46
2012-04-06	7998.11
2012-04-13	5146.55
2012-04-20	4281.83
2012-04-27	4570.65
2012-05-04	5275.22
2012-05-11	4883.11
2012-05-18	6427.67
2012-05-25	5002
2012-06-01	5560.98
2012-06-08	6349.3
2012-06-15	7500.9
2012-06-22	6355.17
2012-06-29	6135.04
2012-07-06	4302.78
2012-07-13	4508.4
2012-07-20	5487.92
2012-07-27	3647.06
2012-08-03	5025.22
2012-08-10	5124.76
2012-08-17	4223.28
2012-08-24	6868.39
2012-08-31	4262.25
2012-09-07	4720.19
2012-09-14	5041.49
2012-09-21	4637.96
2012-09-28	5605.7
2012-10-05	5898.39
2012-10-12	5294.92
2012-10-19	6889.3
2012-10-26	6342.69
