date	sales
2010-02-05	11955.45
2010-02-12	11794.51
2010-02-19	11707.09
2010-02-26	11452.33
2010-03-05	11300.69
2010-03-12	11348.25
2010-03-19	10568.97
2010-03-26	10914.92
2010-04-02	11377.24
2010-04-09	11802.96
2010-04-16	13085.44
2010-04-23	12205.51
2010-04-30	12249.8
2010-05-07	12938.5
2010-05-14	11263.24
2010-05-21	14107.81
2010-05-28	12399.81
2010-06-04	13567.78
2010-06-11	12281.09
2010-06-18	12188.84
2010-06-25	11676.81
2010-07-02	11637.73
2010-07-09	12100.26
2010-07-16	12002.4
2010-07-23	12854.37
2010-07-30	12088.9
2010-08-06	12467.34
2010-08-13	12218.48
2010-08-20	12498.59
2010-08-27	12321.27
2010-09-03	13074.35
2010-09-10	11640.49
2010-09-17	12059.87
2010-09-24	12249.03
2010-10-01	11754.62
2010-10-08	10998.41
2010-10-15	10898.81
2010-10-22	11779.08
2010-10-29	11692.76
2010-11-05	12234.58
2010-11-12	11433.78
2010-11-19	10301.94
2010-11-26	11145.8
2010-12-03	10894.39
2010-12-10	12491.32
2010-12-17	12673.86
2010-12-24	14915.24
2010-12-31	9999.57
2011-01-07	10998.63
2011-01-14	10189.2
2011-01-21	10598.24
2011-01-28	10737.69
2011-02-04	11470.96
2011-02-11	11579.75
2011-02-18	12983.57
2011-02-25	12548.24
2011-03-04	13478.15
2011-03-11	11547.79
2011-03-18	11640.46
2011-03-25	11728.21
2011-04-01	12161.13
2011-04-08	12824.11
2011-04-15	11663.39
2011-04-22	12601.23
2011-04-29	11964.84
2011-05-06	13090.7
2011-05-13	11821.98
2011-05-20	13081.65
2011-05-27	13005.92
2011-06-03	13791.92
2011-06-10	12687.22
2011-06-17	12213.47
2011-06-24	11739.48
2011-07-01	12476.74
2011-07-08	12708.1
2011-07-15	12068.92
2011-07-22	12964.11
2011-07-29	12265.76
2011-08-05	12730.58
2011-08-12	11501.35
2011-08-19	11474.41
2011-08-26	13334.31
2011-09-02	13000.71
2011-09-09	13799.3
2011-09-16	12035.27
2011-09-23	12327.21
2011-09-30	12330.71
2011-10-07	12812.93
2011-10-14	11748.71
2011-10-21	12322.31
2011-10-28	11638.29
2011-11-04	12393.73
2011-11-11	12275.25
2011-11-18	11568.77
2011-11-25	12580.96
2011-12-02	14037.12
2011-12-09	12178.82
2011-12-16	13528.87
2011-12-23	16430.32
2011-12-30	12352.45
2012-01-06	12652.75
2012-01-13	11954.09
2012-01-20	11762.25
2012-01-27	11466.29
2012-02-03	13081.04
2012-02-10	13324.14
2012-02-17	12760.09
2012-02-24	14104.45
2012-03-02	13797.98
2012-03-09	12629.58
2012-03-16	13651.44
2012-03-23	12105.17
2012-03-30	11590.52
2012-04-06	13415.25
2012-04-13	11752.46
2012-04-20	12458.91
2012-04-27	12600.3
2012-05-04	13703.34
2012-05-11	12292.68
2012-05-18	12121.68
2012-05-25	13372.55
2012-06-01	13043.85
2012-06-08	13640.91
2012-06-15	12374.49
2012-06-22	12594.58
2012-06-29	13397.65
2012-07-06	13490.35
2012-07-13	12380.57
2012-07-20	12409.06
2012-07-27	11566.52
2012-08-03	12728.16
2012-08-10	12468.23
2012-08-17	12920.22
2012-08-24	12570.74
2012-08-31	13689.86
2012-09-07	13696.73
2012-09-14	11075.94
2012-09-21	12396.17
2012-09-28	12027.59
2012-10-05	13455.98
2012-10-12	11901.2
2012-10-19	11869.45
2012-10-26	11523.89
