date	sales
2010-02-05	74661.16
2010-02-12	65487.46
2010-02-19	70853.58
2010-02-26	64963.9
2010-03-05	68428.64
2010-03-12	66622.03
2010-03-19	64307.01
2010-03-26	59770.18
2010-04-02	68286.2
2010-04-09	64295.22
2010-04-16	65172.2
2010-04-23	66471.86
2010-04-30	65054.02
2010-05-07	68976.37
2010-05-14	62666.91
2010-05-21	69699.5
2010-05-28	68750.86
2010-06-04	68994.35
2010-06-11	72603.29
2010-06-18	69633.65
2010-06-25	68587.69
2010-07-02	72107.47
2010-07-09	66045.13
2010-07-16	69430.49
2010-07-23	66465.49
2010-07-30	67829.52
2010-08-06	69920.91
2010-08-13	69947
2010-08-20	69472.79
2010-08-27	69300.7
2010-09-03	70081.13
2010-09-10	65663.65
2010-09-17	64649.52
2010-09-24	65789.27
2010-10-01	66423.44
2010-10-08	64252.04
2010-10-15	63597.23
2010-10-22	62810.47
2010-10-29	63125.76
2010-11-05	64267.74
2010-11-12	62367.28
2010-11-19	65120.69
2010-11-26	66864.2
2010-12-03	62758.12
2010-12-10	66513.13
2010-12-17	74559.82
2010-12-24	91738.44
2010-12-31	55375.52
2011-01-07	62974.44
2011-01-14	56606.3
2011-01-21	62126.32
2011-01-28	59940.76
2011-02-04	60069.23
2011-02-11	70619.64
2011-02-18	69487.17
2011-02-25	65829.84
2011-03-04	70042.14
2011-03-11	67898.82
2011-03-18	64567.4
2011-03-25	60715.5
2011-04-01	65018.79
2011-04-08	61878.07
2011-04-15	62959.75
2011-04-22	64738.13
2011-04-29	62751.61
2011-05-06	63235.76
2011-05-13	62941.61
2011-05-20	61960.83
2011-05-27	64755.07
2011-06-03	65848.98
2011-06-10	66831.49
2011-06-17	66648.26
2011-06-24	61507.28
2011-07-01	64838.42
2011-07-08	64206.49
2011-07-15	63850.33
2011-07-22	64188.7
2011-07-29	62022.55
2011-08-05	67755.05
2011-08-12	66849.04
2011-08-19	67360.35
2011-08-26	69418.62
2011-09-02	66006.89
2011-09-09	60703.72
2011-09-16	59135.08
2011-09-23	61107.02
2011-09-30	61698.6
2011-10-07	64978.04
2011-10-14	62476.91
2011-10-21	60669.07
2011-10-28	59276.11
2011-11-04	65483.49
2011-11-11	61463.38
2011-11-18	61442.83
2011-11-25	64808.41
2011-12-02	60333.21
2011-12-09	66160.47
2011-12-16	73364.19
2011-12-23	93511.03
2011-12-30	57846.27
2012-01-06	64877.05
2012-01-13	62505.79
2012-01-20	61438.15
2012-01-27	58151.34
2012-02-03	71322.01
2012-02-10	69165.6
2012-02-17	70027.01
2012-02-24	66451.66
2012-03-02	70768.55
2012-03-09	66870.9
2012-03-16	68851.41
2012-03-23	63447.81
2012-03-30	63778.8
2012-04-06	70382.23
2012-04-13	61390.48
2012-04-20	67363.12
2012-04-27	61562.95
2012-05-04	67046.93
2012-05-11	61750.11
2012-05-18	63948.19
2012-05-25	66419.23
2012-06-01	64912.65
2012-06-08	70841.55
2012-06-15	66904.1
2012-06-22	68915.17
2012-06-29	66611.66
2012-07-06	70409.25
2012-07-13	65225.27
2012-07-20	65537.3
2012-07-27	66605.41
2012-08-03	69431.69
2012-08-10	67146.39
2012-08-17	68857.79
2012-08-24	68175.69
2012-08-31	72899.98
2012-09-07	66273.96
2012-09-14	63984.36
2012-09-21	66350.75
2012-09-28	61500.04
2012-10-05	67497.08
2012-10-12	59664.89
2012-10-19	64137.69
2012-10-26	62475.44
