date	sales
2010-02-05	9282.86
2010-02-12	9266.08
2010-02-19	9595.35
2010-02-26	9297.39
2010-03-05	9610.15
2010-03-12	8893.44
2010-03-19	9257.55
2010-03-26	8727.31
2010-04-02	10896.34
2010-04-09	9767.68
2010-04-16	9261.65
2010-04-23	9591.46
2010-04-30	9684.58
2010-05-07	9996.81
2010-05-14	8606.89
2010-05-21	9992.55
2010-05-28	9914.1
2010-06-04	10935.35
2010-06-11	9809.41
2010-06-18	10308.35
2010-06-25	9641.78
2010-07-02	10374.12
2010-07-09	9976.39
2010-07-16	8917.76
2010-07-23	9497.6
2010-07-30	9829.25
2010-08-06	10438.13
2010-08-13	10337.95
2010-08-20	10508.54
2010-08-27	9821.49
2010-09-03	10430.17
2010-09-10	9619.2
2010-09-17	9814.16
2010-09-24	9122.95
2010-10-01	8944.69
2010-10-08	9098.25
2010-10-15	8794.01
2010-10-22	8185.6
2010-10-29	8939.77
2010-11-05	11255.26
2010-11-12	9254.68
2010-11-19	9683.99
2010-11-26	10664.3
2010-12-03	10108.26
2010-12-10	10442.94
2010-12-17	9994.98
2010-12-24	11541.11
2010-12-31	10415.51
2011-01-07	9872.7
2011-01-14	9371.89
2011-01-21	8474.02
2011-01-28	9085.46
2011-02-04	10043.23
2011-02-11	9956.35
2011-02-18	9800.78
2011-02-25	9623.3
2011-03-04	10592.48
2011-03-11	9341.24
2011-03-18	9227.02
2011-03-25	9595.3
2011-04-01	9449.83
2011-04-08	9462.52
2011-04-15	9220.64
2011-04-22	9769.34
2011-04-29	9761.36
2011-05-06	10262.18
2011-05-13	9315.97
2011-05-20	9755.99
2011-05-27	9247.44
2011-06-03	10821.06
2011-06-10	9937.24
2011-06-17	9380.35
2011-06-24	9209.77
2011-07-01	10113.24
2011-07-08	10212.96
2011-07-15	8953.79
2011-07-22	9635.7
2011-07-29	8725.77
2011-08-05	10727.15
2011-08-12	9827.54
2011-08-19	9684.23
2011-08-26	9757.76
2011-09-02	10482.68
2011-09-09	10079.61
2011-09-16	9350.92
2011-09-23	9137.55
2011-09-30	9191.13
2011-10-07	10429.34
2011-10-14	8851.29
2011-10-21	9063.22
2011-10-28	9678.71
2011-11-04	10272.45
2011-11-11	9265.03
2011-11-18	9424.31
2011-11-25	11192.08
2011-12-02	10865.82
2011-12-09	10056.55
2011-12-16	10502.53
2011-12-23	11922.26
2011-12-30	11081.52
2012-01-06	11440.36
2012-01-13	10379.01
2012-01-20	9636.52
2012-01-27	9608.85
2012-02-03	10696.3
2012-02-10	10180.97
2012-02-17	9463.91
2012-02-24	10021.65
2012-03-02	10166.71
2012-03-09	9637.75
2012-03-16	9786.27
2012-03-23	9251.13
2012-03-30	8675.72
2012-04-06	11097.86
2012-04-13	9399.32
2012-04-20	9993.87
2012-04-27	9263.03
2012-05-04	10526.9
2012-05-11	9956.1
2012-05-18	10116.1
2012-05-25	10401.48
2012-06-01	10660.76
2012-06-08	10409.37
2012-06-15	9710.42
2012-06-22	10272.76
2012-06-29	10740.16
2012-07-06	11408.23
2012-07-13	9383.45
2012-07-20	9598.92
2012-07-27	9080.09
2012-08-03	10418.98
2012-08-10	10194.71
2012-08-17	10048.42
2012-08-24	10528.53
2012-08-31	10699.72
2012-09-07	10424.39
2012-09-14	9212.89
2012-09-21	10459.89
2012-09-28	9486.05
2012-10-05	10940.46
2012-10-12	9681.5
2012-10-19	9588.55
2012-10-26	10036.57
